Id,TagName,Count,ExcerptPostId,WikiPostId
1,phonetics,1006,248,247
2,articulation,68,407,406
3,production,13,,
4,cross-linguistic,243,698,697
5,morphology,481,253,252
7,interlinear-gloss,33,2069,2068
8,examples,12,,
9,variation,15,,
10,names,76,26060,26059
11,articles,52,753,752
13,universal-grammar,52,479,478
14,vowels,230,400,399
16,native-language,30,4332,4331
17,indo-european,176,35,34
18,celtic,27,27,26
21,syntax,1105,584,583
22,verbs,282,793,792
23,terminology,909,30,29
24,voicing,50,4275,4274
26,nlp,112,37,36
28,agglutination,30,4212,4211
29,japanese,92,94,93
30,grammar,542,2483,2482
31,particles,28,129,128
32,cases,176,826,825
33,korean,44,303,302
34,etymology,745,398,397
35,sound-change,160,2491,2490
36,grammatical-number,44,257,256
37,language-change,192,500,499
38,evolution,89,791,790
39,english,1086,163,162
40,present,11,,
43,phonology,1036,250,249
44,optimality-theory,32,4302,4301
46,ipa,369,197,196
47,transcription,120,317,316
49,historical-linguistics,785,498,497
50,generative-grammar,131,19681,19680
51,theoretical-linguistics,197,2477,2476
52,online-resources,60,96,95
53,translation,116,3538,3537
54,cognates,62,4464,4463
55,sociolinguistics,183,3536,3535
56,determiners,43,4358,4357
60,semitic-languages,73,4342,4341
62,language-families,69,396,395
63,paucal,6,200,199
64,linguistic-universals,85,259,258
66,reconstruction,59,,
71,phonemes,227,349,348
72,language-acquisition,153,261,260
73,psycholinguistics,137,657,656
74,history,123,502,501
77,copula,31,4466,4465
78,computational-linguistics,554,2472,2471
79,philosophy-of-language,87,3204,3203
80,neologism,9,,
81,prescriptivism,10,,
85,latin,246,171,170
87,romance-languages,132,390,389
89,accent,92,13279,13278
90,romanian,30,173,172
91,palatalization,25,2487,2486
92,semantics,660,2534,2533
95,affricates,17,2067,2066
96,corpora,241,2481,2480
98,creoles,21,404,403
99,syllables,109,4300,4299
100,substrate,8,,
103,reference-request,335,1177,1176
105,research,19,47005,47004
107,dialects,137,2536,2535
108,nouns,123,469,468
109,countability,12,,
111,parameters,3,,
112,minimalism,55,26067,26066
113,intonation,34,4336,4335
114,alphabets,94,4322,4321
116,dictionary,95,4324,4323
117,lexicography,37,4346,4345
118,language-contact,22,4330,4329
119,borrowing,101,4190,4189
120,principles-and-parameters,16,472,471
121,parts-of-speech,172,1175,1174
127,pidgins,10,774,773
129,word-classes,45,26065,26064
130,linguistic-typology,302,409,408
131,tools,34,,
132,language-isolates,7,,
133,sprachbund,17,28517,28516
134,chinese,124,3546,3545
136,noun-classes,13,,
138,machine-translation,49,2495,2494
140,constructed-language,58,1489,1488
141,albanian,13,3552,3551
142,sanskrit,106,19683,19682
143,field-linguistics,20,,
145,orthography,286,799,798
146,pronunciation,296,2493,2492
147,czech,19,402,401
150,gender,96,776,775
151,consonants,120,4192,4191
152,ejectives,10,,
153,georgian,31,1191,1190
154,polish,44,3576,3575
155,isolating-languages,11,2061,2060
156,analytic-languages,12,4468,4467
157,word-order,106,2479,2478
158,statistical-mt,16,2497,2496
159,animacy,8,,
170,language-competence,9,,
171,bilingualism,25,427,426
172,software,63,2489,2488
175,dark-l,4,3570,3569
176,suppletion,8,,
177,french,182,3558,3557
178,inflection,105,504,503
179,comparative-linguistics,219,2332,2331
181,typological-cycle,5,1173,1172
182,agreement,34,4352,4351
184,pragmatics,115,3223,3222
185,classifiers,14,,
187,participles,22,4348,4347
189,phones,24,4448,4447
192,lexical-semantics,112,4277,4276
198,affixes,49,749,748
205,prosody,69,4350,4349
206,perception,23,,
210,italian,54,3542,3541
211,numbers,51,19687,19686
212,numerals,43,19685,19684
213,indefinite-article,16,,
214,written-language,147,2795,2794
216,proto-world,15,,
217,vocabulary,78,4296,4295
219,critical-period,6,,
220,evolutionary-linguistics,41,4334,4333
222,origin-of-language,32,4444,4443
224,tone,84,4304,4303
225,frequency,62,4320,4319
226,definiteness,33,4338,4337
227,grammar-formalism,41,46998,46997
232,washo,2,,
234,dead-languages,19,4362,4361
236,language-revival,8,26620,26619
237,proto-indo-european,308,2312,2311
238,german,134,3554,3553
244,negation,49,19689,19688
248,stress,76,4446,4445
251,grammaticality,19,,
255,methodology,31,,
256,linguistic-determinism,7,,
260,semivowels,31,,
265,proto-germanic,67,3136,3135
266,forensic-linguistics,10,,
269,arabic,168,3540,3539
274,tense,89,4298,4297
275,aspect,60,2057,2056
277,adjectives,107,4306,4305
279,finnish,19,1038,1037
280,adpositions,13,4470,4469
281,gerund,16,4476,4475
282,diglossia,7,,
288,greek,185,3550,3549
289,morphological-typology,29,,
292,american-english,90,4267,4266
293,russian,70,3544,3543
295,compounds,33,4340,4339
297,diphthongs,41,4214,4213
298,glides,12,,
299,kinship-terms,15,,
301,branching,5,,
302,reduplication,8,26075,26074
303,armenian,22,3572,3571
304,analysis,20,,
308,applied-linguistics,18,4354,4353
311,multilingualism,32,26095,26094
312,ambiguity,55,2475,2474
314,literacy,6,,
319,interrogatives,13,4472,4471
320,plurality,32,4441,4440
328,acoustic-analysis,58,2485,2484
329,regular-verbs,3,,
330,conjugation,43,4360,4359
339,spanish,116,1452,1451
340,fricatives,23,,
342,velar,18,1458,1457
346,discourse-analysis,43,,
349,varieties,18,4273,4272
351,portuguese,35,3548,3547
352,proper-nouns,26,,
366,parsing,91,4326,4325
370,embedding,17,,
371,marking,11,,
374,syntax-trees,238,4439,4438
375,morphosyntax,79,4328,4327
376,sign-languages,62,1688,1687
378,grammatical-voice,9,,
382,norwegian,20,26632,26631
384,slang,26,,
387,prepositions,77,19699,19698
389,named-entity-recognition,15,16819,16818
393,cognitive-linguistics,54,4308,4307
396,stops,25,4462,4461
397,plosives,9,,
402,sociophonetics,10,,
406,second-lang-acquisition,98,1969,1968
409,turkish,68,3556,3555
410,descriptive-linguistics,25,4271,4270
414,neurolinguistics,20,,
416,esperanto,18,2015,2014
