iter	Passed	Remaining
0	9	9846
1	19	9847
2	28	9465
3	37	9275
4	47	9446
5	57	9443
6	65	9239
7	75	9377
8	85	9377
9	95	9405
10	103	9315
11	113	9318
12	123	9359
13	132	9309
14	141	9285
15	151	9293
16	159	9249
17	169	9257
18	178	9219
19	187	9202
20	197	9184
21	206	9182
22	215	9167
23	225	9182
24	234	9131
25	244	9149
26	253	9145
27	263	9156
28	273	9156
29	283	9176
30	293	9174
31	303	9170
32	313	9197
33	324	9207
34	333	9186
35	343	9187
36	353	9189
37	363	9192
38	372	9171
39	383	9200
40	392	9189
41	404	9227
42	414	9218
43	423	9211
44	432	9185
45	442	9180
46	451	9156
47	460	9133
48	470	9138
49	479	9105
50	488	9090
51	498	9089
52	507	9068
53	517	9069
54	526	9054
55	536	9045
56	545	9031
57	554	9000
58	563	8988
59	573	8979
60	582	8970
61	592	8960
62	601	8948
63	611	8939
64	621	8942
65	631	8930
66	640	8916
67	649	8900
68	659	8904
69	670	8909
70	679	8889
71	688	8873
72	697	8859
73	706	8844
74	716	8839
75	726	8834
76	735	8818
77	745	8806
78	754	8797
79	764	8790
80	773	8776
81	782	8764
82	791	8739
83	801	8735
84	810	8723
85	819	8711
86	828	8696
87	839	8697
88	849	8699
89	859	8690
90	869	8686
91	878	8674
92	888	8665
93	898	8658
94	908	8656
95	918	8647
96	928	8641
97	938	8638
98	947	8623
99	958	8622
100	967	8613
101	978	8611
102	987	8602
103	997	8597
104	1007	8591
105	1017	8579
106	1026	8566
107	1037	8565
108	1046	8557
109	1056	8549
110	1067	8546
111	1076	8532
112	1085	8520
113	1095	8513
114	1105	8504
115	1114	8495
116	1123	8478
117	1132	8466
118	1142	8457
119	1152	8448
120	1162	8444
121	1171	8431
122	1180	8419
123	1190	8409
124	1199	8396
125	1210	8395
126	1219	8380
127	1228	8369
128	1237	8356
129	1246	8343
130	1256	8337
131	1266	8328
132	1275	8315
133	1284	8303
134	1294	8297
135	1305	8290
136	1314	8278
137	1323	8268
138	1332	8255
139	1341	8241
140	1351	8232
141	1361	8226
142	1370	8213
143	1380	8204
144	1390	8198
145	1400	8192
146	1410	8183
147	1419	8168
148	1429	8161
149	1437	8146
150	1446	8132
151	1456	8124
152	1466	8115
153	1475	8104
154	1484	8091
155	1493	8080
156	1502	8069
157	1512	8060
158	1521	8048
159	1530	8036
160	1539	8022
161	1549	8014
162	1559	8007
163	1569	7999
164	1579	7991
165	1588	7982
166	1598	7973
167	1608	7965
168	1617	7951
169	1626	7943
170	1635	7930
171	1645	7921
172	1655	7914
173	1665	7905
174	1675	7900
175	1685	7890
176	1694	7880
177	1704	7869
178	1712	7856
179	1722	7848
180	1731	7836
181	1741	7825
182	1750	7816
183	1760	7805
184	1769	7797
185	1783	7804
186	1797	7814
187	1808	7809
188	1817	7799
189	1827	7790
190	1836	7779
191	1848	7779
192	1858	7772
193	1868	7762
194	1878	7755
195	1888	7747
196	1898	7740
197	1909	7734
198	1918	7723
199	1928	7714
200	1939	7710
201	1955	7724
202	1968	7728
203	1981	7731
204	1993	7729
205	2003	7720
206	2017	7728
207	2032	7740
208	2043	7732
209	2053	7723
210	2063	7714
211	2074	7712
212	2087	7713
213	2098	7706
214	2112	7713
215	2123	7705
216	2136	7710
217	2146	7701
218	2156	7689
219	2170	7693
220	2181	7689
221	2193	7685
222	2203	7676
223	2213	7668
224	2224	7661
225	2234	7651
226	2246	7650
227	2257	7643
228	2270	7642
229	2282	7641
230	2296	7645
231	2311	7650
232	2324	7651
233	2335	7645
234	2351	7655
235	2364	7654
236	2376	7650
237	2388	7646
238	2399	7640
239	2410	7634
240	2422	7628
241	2433	7620
242	2444	7613
243	2455	7608
244	2469	7610
245	2478	7597
246	2488	7587
247	2508	7605
248	2519	7597
249	2530	7591
250	2540	7580
251	2552	7576
252	2562	7566
253	2574	7560
254	2583	7548
255	2597	7548
256	2608	7541
257	2617	7528
258	2631	7528
259	2649	7540
260	2661	7535
261	2675	7536
262	2685	7525
263	2695	7514
264	2705	7503
265	2714	7489
266	2723	7477
267	2733	7466
268	2743	7454
269	2753	7444
270	2763	7432
271	2773	7422
272	2783	7411
273	2792	7398
274	2802	7388
